pu,pu_mod,pu_code,pu_desc
ETH Zurich,Algorithms and Data Structures,252-0002L,"Design and analysis of efficient algorithms. Covers sorting, search trees, hashing, and shortest path algorithms."
ETH Zurich,Information Systems,252-0240L,"Fundamentals of database systems: the relational model, transaction management, and indexing techniques."
ETH Zurich,Machine Learning,252-0540L,"Probabilistic and non-probabilistic methods for regression, classification, and clustering."
MIT,Introduction to Algorithms,6.006,"Introduction to mathematical modeling of computational problems. Covers common algorithms, algorithmic paradigms, and data structures."
MIT,Software Construction,6.031,"Focuses on the fundamentals of building software that is reliable, easy to understand, and ready for change."
MIT,Computer Systems Engineering,6.033,"Design and implementation of large-scale systems: modularity, performance, and security in networks and OS."
Stanford,Programming Abstractions,CS106B,"Fundamental programming concepts: recursion, pointers, and abstract data types like sets, maps, and graphs."
Stanford,Computer Systems from the Ground Up,CS107,"Introduction to computer systems: architecture, assembly language, memory management, and system-level programming."
Stanford,Artificial Intelligence: Principles and Techniques,CS221,"Foundational AI techniques: search, graphical models, logic, and basic machine learning principles."
TU Munich,Introduction to Operating Systems,IN0009,"Basic concepts of operating systems: process scheduling, memory virtualization, and file system architecture."
TU Munich,Computer Graphics,IN2107,"Fundamentals of 3D graphics: viewing pipelines, illumination, shading models, and geometry representation."
University of Edinburgh,Software Engineering,INFR08018,"Study of software lifecycle: requirements, architecture, software design patterns, and Agile methodologies."
University of Edinburgh,Computer Communications and Networks,INFR10077,"Overview of network layers: routing, congestion control, wireless networks, and internet protocols."
University of Toronto,Calculus for Science I,MAT135,"Functions, limits, continuity, derivatives, and applications of differentiation."
University of Toronto,Linear Algebra I,MAT223,"Vector spaces, linear transformations, matrices, determinants, and systems of linear equations."
University of Toronto,Introduction to Statistics,STA220,"Data analysis, probability, sampling distributions, and statistical inference for researchers."
